ID,Rating [Star Wars],Rating [Spotlight],Rating [Rocky],Rating [Mad Max: Fury Road],Rating [Kung Fu Panda 3],Rating [Despicable Me],Rating [Big Hero 6],Rating [The hungover],Rating [Inside out],Rating [The big short],Rating [Almost famous],Rating [The hunger games],Rating [Pulp Fiction],Rating [Inglourious Basterds],Rating [The usual suspects],Rating [Mamma mia],Rating [Frozen],Rating [Legally blonde],Rating [Silver Linings],Rating [Twilight],Rating [Bridget Jones Diary],Rating [Gone girl],Rating [The matrix],Rating [Alien],Rating [2001: A space Odyssey],Rating [The godfather],Rating [Pretty woman],Rating [Pretty woman]
792,4,4,4,4,5,5,4,4,3,N/A,N/A,N/A,5,5,N/A,N/A,5,5,4,2,5,5,4,N/A,N/A,5,5,
474,5,5,5,5,5,5,5,5,5,N/A,N/A,N/A,N/A,5,5,N/A,5,1,1,1,1,5,5,5,5,5,1,
831,5,3,5,5,5,5,5,5,5,5,3,5,3,4,4,2,5,3,2,1,1,5,5,5,3,5,2,
204,4,4,4,3,4,3,3,4,4,3,4,4,3,2,4,3,4,N/A,N/A,4,N/A,5,5,4,5,5,5,
62,5,N/A,5,5,5,5,N/A,5,N/A,N/A,N/A,4,5,5,N/A,N/A,N/A,N/A,5,1,N/A,5,5,N/A,N/A,5,N/A,
479,4,N/A,N/A,N/A,N/A,5,N/A,5,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,4,4,N/A,4,N/A,N/A,5,N/A,N/A,N/A,N/A,
224,4,N/A,5,3,5,5,N/A,4,4,N/A,N/A,N/A,5,3,4,4,4,N/A,N/A,3,5,4,5,5,5,5,N/A,
75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
686,4,N/A,4,5,4,4,N/A,N/A,N/A,N/A,N/A,3,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,4,N/A,4,4,N/A,
519,N/A,N/A,3,4,N/A,3,3,N/A,N/A,N/A,N/A,4,N/A,4,N/A,N/A,3,3,N/A,N/A,N/A,N/A,5,4,3,4,N/A,
253,5,4,4,5,3,5,4,2,3,5,3,3,5,5,5,4,4,3,3,1,3,4,5,1,1,5,5,
263,5,4,4,3,5,5,5,4,3,2,2,5,3,2,2,2,5,N/A,N/A,5,N/A,N/A,5,4,N/A,5,5,
616,N/A,N/A,3,N/A,5,4,4,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,
331,5,N/A,N/A,4,5,5,N/A,4,5,N/A,N/A,N/A,N/A,N/A,N/A,4,4,N/A,N/A,3,N/A,5,4,N/A,N/A,N/A,N/A,
355,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,3,5,N/A,N/A,N/A,5,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
450,2,N/A,N/A,4,N/A,4,N/A,N/A,N/A,N/A,N/A,4,5,5,N/A,N/A,N/A,N/A,N/A,4,N/A,5,5,N/A,N/A,5,N/A,
151,4,N/A,N/A,N/A,5,4,N/A,4,5,N/A,N/A,2,4,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,4,5,N/A,5,5,5,
52,N/A,N/A,2,N/A,3,3,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,3,N/A,3,3,N/A,3,3,3,N/A,N/A,N/A,
3,5,N/A,5,4,4,3,3,N/A,3,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,4,3,N/A,5,5,N/A,N/A,N/A,N/A,
908,4,3,4,4,2,N/A,N/A,3,N/A,N/A,5,4,5,5,5,N/A,N/A,N/A,5,2,N/A,4,4,N/A,N/A,5,5,
913,3,N/A,N/A,4,5,5,N/A,N/A,5,N/A,N/A,4,N/A,3,N/A,N/A,N/A,N/A,N/A,4,N/A,4,3,3,N/A,5,5,
777,N/A,4,N/A,N/A,N/A,4,4,5,5,N/A,N/A,N/A,N/A,5,N/A,N/A,3,4,5,3,4,5,N/A,N/A,N/A,5,4,
292,5,N/A,4,4,5,5,4,5,N/A,N/A,N/A,3,5,5,5,N/A,4,N/A,5,1,N/A,4,4,N/A,N/A,5,N/A,
272,5,N/A,4,4,3,4,5,5,5,4,N/A,4,5,N/A,4,3,4,N/A,5,4,N/A,4,5,5,3,4,5,
254,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
831,3,N/A,5,5,N/A,N/A,N/A,3,5,4,N/A,N/A,N/A,N/A,4,N/A,5,N/A,N/A,5,N/A,N/A,N/A,5,N/A,N/A,5,
236,N/A,N/A,2,N/A,5,5,5,5,4,N/A,N/A,5,N/A,N/A,N/A,4,4,4,N/A,5,N/A,N/A,4,N/A,N/A,5,3,
445,1,3,5,3,3,5,2,3,5,2,4,3,5,5,4,2,5,5,4,5,4,5,3,3,4,5,5,
437,5,N/A,N/A,N/A,4,N/A,4,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,4,N/A,N/A,N/A,4,N/A,N/A,4,N/A,N/A,N/A,5,
705,5,5,5,5,5,2,N/A,1,5,5,2,5,5,4,5,N/A,N/A,N/A,N/A,1,5,N/A,3,3,5,5,4,
952,5,N/A,N/A,4,N/A,4,N/A,N/A,5,N/A,N/A,5,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,3,3,N/A,4,N/A,
938,N/A,N/A,2,N/A,5,5,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,5,4,4,4,4,4,3,4,5,5,
904,3,N/A,N/A,N/A,4,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,5,N/A,2,N/A,
953,N/A,N/A,4,4,4,3,4,5,N/A,5,N/A,N/A,5,5,5,N/A,N/A,N/A,4,N/A,N/A,4,5,5,5,5,N/A,
805,4,5,5,4,5,4,N/A,5,5,N/A,4,4,4,N/A,N/A,4,N/A,4,4,2,4,4,3,2,4,3,5,
971,N/A,N/A,N/A,4,5,5,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,3,N/A,N/A,N/A,3,N/A,5,N/A,
799,4,N/A,N/A,N/A,5,4,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,5,N/A,
697,N/A,N/A,N/A,N/A,N/A,3,N/A,5,N/A,5,4,N/A,N/A,N/A,3,N/A,4,4,N/A,N/A,2,N/A,N/A,N/A,N/A,5,N/A,
554,5,N/A,N/A,N/A,5,N/A,N/A,N/A,5,N/A,N/A,5,N/A,N/A,N/A,N/A,5,N/A,N/A,5,N/A,N/A,5,4,4,5,N/A,
13,5,5,5,N/A,5,5,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,5,5,N/A,N/A,N/A,
339,N/A,N/A,N/A,4,5,4,5,5,5,4,N/A,3,N/A,N/A,N/A,N/A,2,N/A,N/A,1,N/A,3,3,N/A,N/A,N/A,N/A,
338,5,N/A,4,N/A,N/A,3,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,5,5,N/A,5,N/A,
359,N/A,N/A,N/A,N/A,5,5,N/A,N/A,N/A,N/A,N/A,4,N/A,2,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
179,1,N/A,5,3,N/A,N/A,N/A,5,N/A,N/A,N/A,4,4,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,1,5,3,
179,3,N/A,5,4,N/A,4,N/A,4,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,4,1,N/A,N/A,4,N/A,N/A,5,3,
705,4,5,3,5,5,1,1,1,5,5,3,4,5,5,5,5,4,2,2,1,3,1,5,5,5,5,5,
913,4,N/A,N/A,5,5,5,N/A,N/A,4,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,4,N/A,3,N/A,N/A,3,